,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
632,-1.6,-0.8,6.4,0.7546000000000003,1.0299800000000001,5.08032,0.11860212749552448,0.1410180860955807,0.6730400033137746
633,3.2,4.0,4.0,-5.895680000000002,-4.704000000000001,3.136000000000001,0.6730400033137746,0.0,8.926528984957934e-16
634,0.8,3.2,8.8,-1.5680000000000005,-1.5680000000000005,1.5680000000000005,4.463264492478967e-16,4.463264492478967e-16,4.463264492478967e-16
635,-0.8,3.2,6.4,-1.2847799999999998,-3.136000000000001,4.704000000000001,0.6076183607522342,8.926528984957934e-16,0.0
636,1.6,-4.0,4.0,-4.421760000000001,4.7824,4.704000000000001,0.605440738035299,0.34345928845830154,0.0
637,-1.6,-0.8,7.2,0.5331200000000001,0.7487200000000002,4.704000000000001,0.11927095711916298,0.15543292944403883,0.0
638,-4.0,-0.8,8.0,1.3808199999999997,0.48705999999999994,3.136000000000001,0.10797983163722767,0.13891104776769628,8.926528984957934e-16
639,-3.2,-3.2,10.4,0.4919600000000001,0.8114400000000002,1.5680000000000005,0.15941382016815875,0.12464805565181422,4.463264492478967e-16
640,-3.2,3.2,4.0,3.136000000000001,-6.2092800000000015,6.272000000000002,8.926528984957934e-16,0.30881193256894995,1.785305796991587e-15
641,2.4,-3.2,5.6,-3.136000000000001,1.7561600000000006,3.1987200000000007,8.926528984957934e-16,0.5121066555578697,0.30881193256895006
642,-2.4,3.2,9.6,0.3381000000000002,-1.5680000000000005,1.5680000000000005,0.22690991849434683,4.463264492478967e-16,4.463264492478967e-16
643,0.8,-2.4,10.4,-1.5680000000000005,0.6987400000000004,1.5680000000000005,4.463264492478967e-16,0.1318896554401489,4.463264492478967e-16
644,-2.4,3.2,7.2,0.7879200000000003,-2.88512,3.136000000000001,0.10691898944074574,0.577734224310274,8.926528984957934e-16
645,1.6,-1.6,7.2,-2.2892799999999998,1.2475399999999999,3.136000000000001,0.785424161028468,0.16706518536671894,8.926528984957934e-16
646,-0.8,-3.2,7.2,-0.8271200000000001,1.5680000000000005,3.136000000000001,0.8082871436975024,4.463264492478967e-16,8.926528984957934e-16
647,-4.0,0.8,12.0,0.4292400000000001,-0.7340199999999999,1.5680000000000005,0.13416852963133474,0.8231734844214466,4.463264492478967e-16
648,-2.4,-0.8,8.8,0.59878,0.49000000000000005,3.073280000000001,0.12909440441988665,0.10789444898238336,0.30881193256895
649,0.0,0.8,4.0,-3.136000000000001,-1.6464000000000005,12.544000000000004,8.926528984957934e-16,0.34345928845830154,3.570611593983174e-15
650,4.0,-0.8,8.8,-2.1952000000000007,0.39494,1.5680000000000005,0.7720298314223749,0.24542726380372215,4.463264492478967e-16
651,2.4,-0.8,10.4,-1.5680000000000005,0.32242,1.5680000000000005,4.463264492478967e-16,0.22036852421488523,4.463264492478967e-16
652,1.6,1.6,10.4,-1.5680000000000005,-1.5523200000000004,1.5680000000000005,4.463264492478967e-16,0.15679999999999994,4.463264492478967e-16
653,1.6,-4.0,10.4,-1.5680000000000005,0.9721600000000002,1.5680000000000005,4.463264492478967e-16,0.1111539763780247,4.463264492478967e-16
654,-0.8,-3.2,12.0,-0.89866,0.62426,1.5680000000000005,0.7910283323789753,0.1266362499365004,4.463264492478967e-16
655,3.2,-3.2,5.6,-3.2614400000000012,1.5680000000000005,3.136000000000001,0.4275307613718481,4.463264492478967e-16,8.926528984957934e-16
656,0.8,3.2,12.0,-1.4856800000000003,-1.5680000000000005,1.5621200000000004,0.36073983686167793,4.463264492478967e-16,0.023390959144442332
657,-0.8,-0.8,5.6,-0.25774,1.4308,7.840000000000003,0.7184850872537722,0.10789444898238335,3.570611593983174e-15
658,1.6,3.2,7.2,-1.7718400000000005,-2.7439999999999998,3.136000000000001,0.5299803449757416,0.6823844113463355,8.926528984957934e-16
